0.5144	39.29	16.932	19
0.5144	43.29	16.932	9
0.5160	19.10	21.542	3
0.5160	27.10	20.687	4
0.5160	31.10	20.648	40
0.5176	18.98	18.526	53
0.5176	22.98	18.526	78
0.5176	26.98	18.507	47
0.5176	30.98	15.851	131
0.5176	34.98	15.851	62
0.5176	38.98	15.887	77
0.5176	42.98	15.873	82
0.5176	46.98	17.063	26
0.5176	50.98	17.066	18
0.5192	18.70	22.133	20
0.5192	22.70	22.448	7
0.5192	30.70	21.407	16
0.5192	38.70	20.949	27
0.5208	18.47	20.487	29
0.5208	22.47	20.755	32
0.5208	30.47	20.727	20
0.5208	34.47	21.177	4
0.5208	38.47	20.029	52
0.5240	18.13	19.965	139
0.5240	22.13	20.046	51
0.5240	30.13	16.351	84
0.5240	34.13	16.351	90
0.5240	38.13	16.351	162
0.5240	42.13	16.351	65
0.5240	46.13	17.345	30
0.5256	18.00	15.775	23
0.5256	22.00	15.689	100
0.5256	26.00	15.702	41
0.5256	30.00	15.703	162
0.5256	34.00	15.703	77
0.5256	38.00	16.676	221
0.5256	42.00	16.676	82
0.5256	46.00	16.704	55
0.5256	50.00	16.704	18
0.5272	17.71	22.027	22
0.5272	29.71	19.115	60
0.5272	37.71	17.641	121
0.5288	17.47	20.489	71
0.5288	21.47	20.465	56
0.5288	25.47	20.465	30
0.5288	29.47	19.308	96
0.5288	37.47	16.163	59
0.5288	41.47	16.293	60
0.5288	45.47	16.306	26
0.5288	49.47	16.308	26
0.5304	17.36	23.667	93
0.5304	25.36	14.910	14
0.5304	29.36	14.872	136
0.5304	33.36	14.896	47
0.5304	37.36	12.093	128
0.5304	41.36	16.053	87
0.5304	45.36	16.069	37
0.5304	49.36	16.071	26
0.5320	17.16	20.135	20
0.5320	21.16	20.135	40
0.5320	25.16	19.598	58
0.5320	29.16	19.857	31
0.5320	33.16	20.366	6
0.5320	41.16	21.806	14
0.5336	16.92	22.653	66
0.5336	24.92	20.087	11
0.5336	28.92	20.132	19
0.5336	40.92	20.969	33
